"team","win","podium"
"Alex von Falkenhausen Motorenbau (AFM)","0","0"
"Bromme","0","0"
"Connaught Engineering","0","0"
"Cooper Car Company","0","0"
"Del Roy","0","0"
"Eisenacher Motorenwerk (EMW)","0","0"
"Scuderia Ferrari","7","16"
"Gordini","0","0"
"Greifzu","0","0"
"Hersham and Walton Motors (HWM)","0","0"
"Heck","0","0"
"Kurtis","1","4"
"Kurtis Kraft","0","0"
"Kuzma","0","0"
"Lesovsky","0","0"
"Maserati","1","9"
"Officine Specializzate Costruzione Automobili (O.S.C.A.)","0","0"
"Schroeder","0","0"
"Simca-Gordini","0","0"
"Stevens","0","0"
"Turner","0","0"
"Veritas","0","0"
"Watson","0","0"
