"date","title","circuit","win","pole"
"May 27","1951 Swiss Grand Prix","Circuit Bremgarten","Juan Manuel Fangio","Juan Manuel Fangio"
"May 30","1951 Indianapolis 500","Indianapolis Motor Speedway","Lee Wallard","Duke Nalon"
"Jun 17","1951 Belgian Grand Prix","Circuit de Spa-Francorchamps","Nino Farina","Juan Manuel Fangio"
"Jul 1","1951 French Grand Prix","Reims-Gueux","Luigi Fagioli","Juan Manuel Fangio"
"Jul 14","1951 British Grand Prix","Silverstone Circuit","José Froilán González","José Froilán González"
"Jul 29","1951 German Grand Prix","Nürburgring","Alberto Ascari","Alberto Ascari"
"Sep 16","1951 Italian Grand Prix","Autodromo Nazionale Monza","Alberto Ascari","Juan Manuel Fangio"
"Oct 28","1951 Spanish Grand Prix","Pedralbes Circuit","Juan Manuel Fangio","Alberto Ascari"
