"date","title","circuit","win","pole"
"Mar 20","2022 Bahrain Grand Prix","Bahrain International Circuit","Charles Leclerc","Charles Leclerc"
"Mar 27","2022 Saudi Arabian Grand Prix","Jeddah Corniche Circuit","Max Verstappen","Sergio Pérez"
"Apr 10","2022 Australian Grand Prix","Melbourne Grand Prix Circuit","Charles Leclerc","Charles Leclerc"
"Apr 24","2022 Emilia Romagna Grand Prix","Autodromo Internazionale Enzo e Dino Ferrari","Max Verstappen","Max Verstappen"
"May 8","2022 Miami Grand Prix","Miami International Autodrome","Max Verstappen","Charles Leclerc"
"May 22","2022 Spanish Grand Prix","Circuit de Barcelona-Catalunya","Max Verstappen","Charles Leclerc"
"May 29","2022 Monaco Grand Prix","Circuit de Monaco","Sergio Pérez","Charles Leclerc"
"Jun 12","2022 Azerbaijan Grand Prix","Baku City Circuit","Max Verstappen","Charles Leclerc"
"Jun 19","2022 Canadian Grand Prix","Circuit Gilles Villeneuve","Max Verstappen","Max Verstappen"
"Jul 3","2022 British Grand Prix","Silverstone Circuit","Carlos Sainz Jr.","Carlos Sainz Jr."
"Jul 10","2022 Austrian Grand Prix","Red Bull Ring","Charles Leclerc","Max Verstappen"
"Jul 24","2022 French Grand Prix","Circuit Paul Ricard","Max Verstappen","Charles Leclerc"
"Jul 31","2022 Hungarian Grand Prix","Hungaroring","Max Verstappen","George Russell"
"Aug 28","2022 Belgian Grand Prix","Circuit de Spa-Francorchamps","Max Verstappen","Carlos Sainz Jr."
"Sep 4","2022 Dutch Grand Prix","Circuit Park Zandvoort","Max Verstappen","Max Verstappen"
"Sep 11","2022 Italian Grand Prix","Autodromo Nazionale Monza","Max Verstappen","Charles Leclerc"
"Oct 2","2022 Singapore Grand Prix","Marina Bay Street Circuit","Sergio Pérez","Charles Leclerc"
"Oct 9","2022 Japanese Grand Prix","Suzuka Circuit","Max Verstappen","Max Verstappen"
"Oct 23","2022 United States Grand Prix","Circuit of the Americas","Max Verstappen","Carlos Sainz Jr."
"Oct 30","2022 Mexican Grand Prix","Autódromo Hermanos Rodríguez","Max Verstappen","Max Verstappen"
"Nov 13","2022 São Paulo Grand Prix","Autódromo José Carlos Pace","George Russell","George Russell"
"Nov 20","2022 Abu Dhabi Grand Prix","Yas Marina Circuit","Max Verstappen","Max Verstappen"
