"date","title","circuit","win","pole"
"Mar 28","2021 Bahrain Grand Prix","Bahrain International Circuit","Lewis Hamilton","Max Verstappen"
"Apr 18","2021 Emilia Romagna Grand Prix","Autodromo Internazionale Enzo e Dino Ferrari","Max Verstappen","Lewis Hamilton"
"May 2","2021 Portuguese Grand Prix","Algarve International Circuit","Lewis Hamilton","Valtteri Bottas"
"May 9","2021 Spanish Grand Prix","Circuit de Barcelona-Catalunya","Lewis Hamilton","Lewis Hamilton"
"May 23","2021 Monaco Grand Prix","Circuit de Monaco","Max Verstappen",""
"Jun 6","2021 Azerbaijan Grand Prix","Baku City Circuit","Sergio Pérez","Charles Leclerc"
"Jun 20","2021 French Grand Prix","Circuit Paul Ricard","Max Verstappen","Max Verstappen"
"Jun 27","2021 Styrian Grand Prix","Red Bull Ring","Max Verstappen","Max Verstappen"
"Jul 4","2021 Austrian Grand Prix","Red Bull Ring","Max Verstappen","Max Verstappen"
"Jul 18","2021 British Grand Prix","Silverstone Circuit","Lewis Hamilton","Max Verstappen"
"Aug 1","2021 Hungarian Grand Prix","Hungaroring","Esteban Ocon","Lewis Hamilton"
"Aug 29","2021 Belgian Grand Prix","Circuit de Spa-Francorchamps","Max Verstappen","Max Verstappen"
"Sep 5","2021 Dutch Grand Prix","Circuit Park Zandvoort","Max Verstappen","Max Verstappen"
"Sep 12","2021 Italian Grand Prix","Autodromo Nazionale Monza","Daniel Ricciardo","Max Verstappen"
"Sep 26","2021 Russian Grand Prix","Sochi Autodrom","Lewis Hamilton","Lando Norris"
"Oct 3","2021 Turkish Grand Prix","Istanbul Park","Valtteri Bottas","Valtteri Bottas"
"Oct 24","2021 United States Grand Prix","Circuit of the Americas","Max Verstappen","Max Verstappen"
"Nov 7","2021 Mexican Grand Prix","Autódromo Hermanos Rodríguez","Max Verstappen","Valtteri Bottas"
"Nov 14","2021 São Paulo Grand Prix","Autódromo José Carlos Pace","Lewis Hamilton","Valtteri Bottas"
"Nov 21","2021 Qatar Grand Prix","Lusail International Circuit","Lewis Hamilton","Lewis Hamilton"
"Dec 5","2021 Saudi Arabian Grand Prix","Jeddah Corniche Circuit","Lewis Hamilton","Lewis Hamilton"
"Dec 12","2021 Abu Dhabi Grand Prix","Yas Marina Circuit","Max Verstappen","Max Verstappen"
