"date","title","circuit","win","pole"
"May 18","1952 Swiss Grand Prix","Circuit Bremgarten","Piero Taruffi","Nino Farina"
"May 30","1952 Indianapolis 500","Indianapolis Motor Speedway","Troy Ruttman","Fred Agabashian"
"Jun 22","1952 Belgian Grand Prix","Circuit de Spa-Francorchamps","Alberto Ascari","Alberto Ascari"
"Jul 6","1952 French Grand Prix","Rouen-Les-Essarts","Alberto Ascari","Alberto Ascari"
"Jul 19","1952 British Grand Prix","Silverstone Circuit","Alberto Ascari","Nino Farina"
"Aug 3","1952 German Grand Prix","Nürburgring","Alberto Ascari","Alberto Ascari"
"Aug 17","1952 Dutch Grand Prix","Circuit Park Zandvoort","Alberto Ascari","Alberto Ascari"
"Sep 7","1952 Italian Grand Prix","Autodromo Nazionale Monza","Alberto Ascari","Alberto Ascari"
