"date","title","circuit","win","pole"
"Mar 5","2023 Bahrain Grand Prix","Bahrain International Circuit","Max Verstappen","Max Verstappen"
"Mar 19","2023 Saudi Arabian Grand Prix","Jeddah Corniche Circuit","Sergio Pérez","Sergio Pérez"
"Apr 2","2023 Australian Grand Prix","Melbourne Grand Prix Circuit","Max Verstappen","Max Verstappen"
"Apr 30","2023 Azerbaijan Grand Prix","Baku City Circuit","Sergio Pérez","Charles Leclerc"
"May 7","2023 Miami Grand Prix","Miami International Autodrome","Max Verstappen","Sergio Pérez"
"May 28","2023 Monaco Grand Prix","Circuit de Monaco","Max Verstappen","Max Verstappen"
"Jun 4","2023 Spanish Grand Prix","Circuit de Barcelona-Catalunya","Max Verstappen","Max Verstappen"
"Jun 18","2023 Canadian Grand Prix","Circuit Gilles Villeneuve","Max Verstappen","Max Verstappen"
"Jul 2","2023 Austrian Grand Prix","Red Bull Ring","Max Verstappen","Max Verstappen"
"Jul 9","2023 British Grand Prix","Silverstone Circuit","Max Verstappen","Max Verstappen"
"Jul 23","2023 Hungarian Grand Prix","Hungaroring","Max Verstappen","Lewis Hamilton"
"Jul 30","2023 Belgian Grand Prix","Circuit de Spa-Francorchamps","Max Verstappen","Charles Leclerc"
"Aug 27","2023 Dutch Grand Prix","Circuit Park Zandvoort","Max Verstappen","Max Verstappen"
"Sep 3","2023 Italian Grand Prix","Autodromo Nazionale Monza","Max Verstappen","Carlos Sainz Jr."
"Sep 17","2023 Singapore Grand Prix","Marina Bay Street Circuit","Carlos Sainz Jr.","Carlos Sainz Jr."
"Sep 24","2023 Japanese Grand Prix","Suzuka Circuit","Max Verstappen","Max Verstappen"
"Oct 8","2023 Qatar Grand Prix","Lusail International Circuit","Max Verstappen","Max Verstappen"
"Oct 22","2023 United States Grand Prix","Circuit of the Americas","Max Verstappen","Charles Leclerc"
"Oct 29","2023 Mexican Grand Prix","Autódromo Hermanos Rodríguez","Max Verstappen","Charles Leclerc"
"Nov 5","2023 São Paulo Grand Prix","Autódromo José Carlos Pace","Max Verstappen","Max Verstappen"
"Nov 18","2023 Las Vegas Grand Prix","Las Vegas Street Circuit","Max Verstappen","Charles Leclerc"
"Nov 26","2023 Abu Dhabi Grand Prix","Yas Marina Circuit","Max Verstappen","Max Verstappen"
